key_norm,key_type,raw_value,source
ainda bem que voce apareceu: chopper -,title,ainda bem que voce apareceu: chopper -,OBRAS/FONOGRAMAS/Eligible
ainda nao,title,ainda nao,OBRAS/FONOGRAMAS/Eligible
ainda te espero,title,ainda te espero,OBRAS/FONOGRAMAS/Eligible
air mail surgery,title,air mail surgery,OBRAS/FONOGRAMAS/Eligible
aizen sousuke: manipulacao,title,aizen sousuke: manipulacao,OBRAS/FONOGRAMAS/Eligible
ajuda,title,ajuda,OBRAS/FONOGRAMAS/Eligible
ajude,title,ajude,OBRAS/FONOGRAMAS/Eligible
ak 47,title,ak 47,OBRAS/FONOGRAMAS/Eligible
akashi cruz,title,akashi cruz,OBRAS/FONOGRAMAS/Eligible
aki hayakawa (chainsaw man),title,aki hayakawa (chainsaw man),OBRAS/FONOGRAMAS/Eligible
aki hayakawa: preso no inverno,title,aki hayakawa: preso no inverno,OBRAS/FONOGRAMAS/Eligible
akira tendou: eu me sinto livre,title,akira tendou: eu me sinto livre,OBRAS/FONOGRAMAS/Eligible
alamedas,title,alamedas,OBRAS/FONOGRAMAS/Eligible
alarme falso,title,alarme falso,OBRAS/FONOGRAMAS/Eligible
albatroz,title,albatroz,OBRAS/FONOGRAMAS/Eligible
album de fotografia,title,album de fotografia,OBRAS/FONOGRAMAS/Eligible
alcancando o ceu com os pes no chao,title,alcancando o ceu com os pes no chao,OBRAS/FONOGRAMAS/Eligible
aldeia da folha,title,aldeia da folha,OBRAS/FONOGRAMAS/Eligible
alegria do povo,title,alegria do povo,OBRAS/FONOGRAMAS/Eligible
alegro piradissimo,title,alegro piradissimo,OBRAS/FONOGRAMAS/Eligible
aleluia,title,aleluia,OBRAS/FONOGRAMAS/Eligible
alem do ego,title,alem do ego,OBRAS/FONOGRAMAS/Eligible
alem do real,title,alem do real,OBRAS/FONOGRAMAS/Eligible
alem mar,title,alem mar,OBRAS/FONOGRAMAS/Eligible
alemao nos mete bala,title,alemao nos mete bala,OBRAS/FONOGRAMAS/Eligible
aleph,title,aleph,OBRAS/FONOGRAMAS/Eligible
alerta antifascista,title,alerta antifascista,OBRAS/FONOGRAMAS/Eligible
