EDITORA,PROGRAMA,NÚMERO PROGRAMA,EXIBIÇÃO (GRAVADO OU REPRISE),"CATEGORIA DO PROGRAMA (PROGRAMA, NOVELA)",DATA DE EXIBIÇÃO,NOME DA MÚSICA,AUTOR,INTERPRETE,TIPO DE SINCRONIZAÇÃO,PERCENTUAL A PAGAR - EDITORA,VALOR A PAGAR - EDITORA,__title_norm,__author_norm,__is_match,__sheet
BMG RIGHTS MANAGEMENT BRASIL LTDA,THE NOITE,2471,GRAVADO,PROGRAMA,14/12/2023,ABISMO,BRUNO RIGAMONTE CARNEIRO / EMANUELLA TENORIO ROCHA / RICARDUS MAXIMUS MIRANDA DA CUNHA JUNIOR / THALLYSON LIMA,MANU BAHTIDÃO,PERFORMANCE,100.00%,"799,71",abismo,manu bahtidao,True,Relatório Solicitação
IRMÃOS VITALE EDITORES LTDA,ESPECIAL NATAL CIRCO,1,GRAVADO,PROGRAMA,25/12/2023,ANOITECEU,ASSIS VALENTE,ASSIS VALENTE,FUNDO MUSICAL,100.00%,"1599,43",anoiteceu,assis valente,True,Relatório Solicitação
BMG RIGHTS MANAGEMENT BRASIL LTDA,THE NOITE,2467,GRAVADO,PROGRAMA,08/12/2023,HEY JOE,BILLY ROBERTS,ULTRAJE A RIGOR,PERFORMANCE,100.00%,"799,71",hey joe,ultraje a rigor,True,Relatório Solicitação
DIVERSAS,PROGRAMA DO RATINHO,3449,GRAVADO,PROGRAMA,06/12/2023,NEGA,TARCISIO DO ACORDEON,NOVA BANDA DO RATINHO,PERFORMANCE,100.00%,"799,71",nega,nova banda do ratinho,True,Relatório Solicitação
ADDAF - ASS. DEF. DIREITOS AUTORAIS FONOMECÂNICOS,PROGRAMA DO RATINHO,3449,GRAVADO,PROGRAMA,06/12/2023,BEIJINHO NO OMBRO,WALLACE VIANA / ANDRE VIEIRA / LEANDRO PARDAL,VALESKA POPOZUDA,FUNDO MUSICAL,37.50%,"599,79",beijinho no ombro,valeska popozuda,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA DO RATINHO,3449,GRAVADO,PROGRAMA,06/12/2023,BEIJINHO NO OMBRO,WALLACE VIANA / ANDRE VIEIRA / LEANDRO PARDAL,VALESKA POPOZUDA,FUNDO MUSICAL,50.00%,"799,72",beijinho no ombro,valeska popozuda,True,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA DO RATINHO,3449,GRAVADO,PROGRAMA,06/12/2023,BEIJINHO NO OMBRO,WALLACE VIANA / ANDRE VIEIRA / LEANDRO PARDAL,VALESKA POPOZUDA,FUNDO MUSICAL,12.50%,"199,93",beijinho no ombro,valeska popozuda,True,Relatório Solicitação
IRMÃOS VITALE EDITORES LTDA,PROGRAMA DO RATINHO,3451,GRAVADO,PROGRAMA,08/12/2023,NOITE,JOSE DIVINO NEVES / ANTONIO DOMICIANO,NILSINHO E CESAR MENOTTI,PERFORMANCE,100.00%,"799,71",noite,nilsinho e cesar menotti,True,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA DO RATINHO,3456,GRAVADO,PROGRAMA,15/12/2023,DIANA,FRED JORGE / PAUL ANKA,NOVA BANDA DO RATINHO,PERFORMANCE,100.00%,"799,71",diana,nova banda do ratinho,True,Relatório Solicitação
IRMÃOS VITALE EDITORES LTDA,PROGRAMA DO RATINHO,3461,GRAVADO,PROGRAMA,29/12/2023,SEBASTIANA,ROSIL CAVALCANTI,NOVA BANDA DO RATINHO,PERFORMANCE,100.00%,"799,71",sebastiana,nova banda do ratinho,True,Relatório Solicitação
DIVERSAS,PROGRAMA DO RATINHO,3457,GRAVADO,PROGRAMA,25/12/2023,SEM SENTIMENTO,DG / BATIDAO STRONDA / FELIPE AMORIM / MC DANNY,MC DESIRRE,PERFORMANCE,100.00%,"799,71",sem sentimento,mc desirre,True,Relatório Solicitação
DIVERSAS,PROGRAMA SILVIO SANTOS,810,GRAVADO,PROGRAMA,10/12/2023,DOMINGO,SERGIO BRITTO / TONI BELLOTTO,TITÃS,FUNDO MUSICAL,100.00%,"1599,43",domingo,titas,True,Relatório Solicitação
