PROGRAMA,Exibição,Música,Autor,Intérprete,Tipo,Sincronização,VOD,Total,Unnamed: 9,__title_norm,__author_norm,__is_match,__sheet
MELHOR DA NOITE,2024-02-28,MORENA,AVELLAR / RAFFA LIBI / ALEX ALVES / MARCELO MARTINS,CLAYTON E ROMARIO,PE,0.0,52.3166,52.3166,,morena,clayton e romario,True,Relatorio_UBEM
MELHOR DA TARDE,2024-02-12,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO / LUDMILLA,BK,0.0,104.6332,104.6332,,macetando,ivete sangalo / ludmilla,True,Relatorio_UBEM
VERÃO MAIOR PARANÁ,2024-02-02,MORENA,BRENO CESAR / DIEGO BARÃO / LUAN SANTANA / LUCAS SANTOS / SHYLTON FERNANDES,LUAN SANTANA,PE,373.69,26.16,399.8483,Reprise 19/01/2024,morena,luan santana,True,Relatorio_UBEM
VERÃO MAIOR PARANÁ,2024-02-02,DEJA VU,LUAN SANTANA / LUCAS SANTOS / MATHEUS ALEIXO / MATHEUS MARCOLINO,ANA CASTELA / LUAN SANTANA,PE,373.69,26.16,399.8483,Reprise 19/01/2024,deja vu,ana castela / luan santana,True,Relatorio_UBEM
VERÃO MAIOR PARANÁ,2024-02-02,NOCAUTE,PAULO MASSADAS / MIHAIL PLOPSCHI / MICHAEL SULLIVAN / IVANILTON DE SOUZA,JORGE E MATEUS,PE,373.69,26.16,399.8483,Reprise 26/01/2024,nocaute,jorge e mateus,True,Relatorio_UBEM
VERÃO MAIOR PARANÁ,2024-02-02,LOGO EU,FELIPE RODRIGUES / SAMUEL DELMIR0O,JORGE E MATHEUS,PE,373.69,26.16,399.8483,Reprise 26/01/2024,logo eu,jorge e matheus,True,Relatorio_UBEM
VERÃO MAIOR PARANÁ,2024-02-02,MÁGICA,EVERTON MATOS / GUILHERME FERRARI / LEO SAGA / MATHEUS ALEIXO / PAULO PIRES / RAY ANTONIO,HUGO E GUILHERME,PE,373.69,26.16,399.8483,Reprise 12/01/2024,magica,hugo e guilherme,True,Relatorio_UBEM
PROGRAMA DO JOÂO,2024-02-10,MACETANDO,IVETE SANGALO / LUCIANO CHAVES DOS SANTOS / SAMIR TRINDADE,IVETE SANGALO E LUDMILLA,BK,1494.76,104.63,1599.3932,,macetando,ivete sangalo e ludmilla,True,Relatorio_UBEM
PROGRAMA DO JOÂO,2024-02-10,VERMELHO,VANESSA DA MATA,VANESSA DA MATA,PE,747.38,52.32,799.69,,vermelho,vanessa da mata,True,Relatorio_UBEM
PROGRAMA DO JOÂO,2024-02-10,MACETANDO,IVETE SANGALO / LUCIANO CHAVES DOS SANTOS / SAMIR TRINDADE,MARCIO VICTOR,PE,747.38,52.32,799.69,,macetando,marcio victor,True,Relatorio_UBEM
PROGRAMA DO JOÂO,2024-02-10,MACETANDO,IVETE SANGALO / LUCIANO CHAVES DOS SANTOS / SAMIR TRINDADE,MARCIO VICTOR,BK,1494.76,104.63,1599.3932,,macetando,marcio victor,True,Relatorio_UBEM
BORA BRASIL,2023-12-12,SAMURAI                                           ,DJAVAN,DJAVAN,BK,0.0,62.7795,62.7795,,samurai,djavan,True,Relatorio_UBEM
VIRADA NA BAND 2024,2023-12-31,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO,PE,0.0,52.3166,52.3166,,macetando,ivete sangalo,True,Relatorio_UBEM
PROGRAMA DO JOÂO,2023-12-02,DESAFIO,XANDY / DULLER / FABIO ALCANTARA / TONHO COPQUE,DUDU NOBRE / EDILSON CAPETINHA,PE,747.38,52.32,799.69,,desafio,dudu nobre / edilson capetinha,True,Relatorio_UBEM
PROGRAMA DO JOÂO,2023-12-02,VERDADE                                           ,NELSON RUFINO / CARLINHOS SANTANA,DUDU NOBRE / EDILSON CAPETINHA,PE,747.38,52.32,799.69,,verdade,dudu nobre / edilson capetinha,True,Relatorio_UBEM
PROGRAMA DO JOÂO,2023-12-02,MORENA,DIEGO NICOLAU / FRED CAMACHO / JOAO EDUARDO DE SALLES NOBRE,DUDU NOBRE,PE,747.38,52.32,799.69,,morena,dudu nobre,True,Relatorio_UBEM
PROGRAMA DO JOÂO,2023-12-16,SE JOGA,NALDO BENNY,NALDO BENNY,PE,747.38,52.32,799.69,,se joga,naldo benny,True,Relatorio_UBEM
PROGRAMA DO JOÂO,2023-12-30,BANDIDA,ARTHUR MARQUES / CLEO PIRES / GUTO GUERRA,CLEO PIRES,DM,1046.33,73.24,1119.5731,,bandida,cleo pires,True,Relatorio_UBEM
