provider,file_stem,title,artist,valor_text,Valor (BRL),"Valor (BRL, sem centavos)",amount_cents
SBT,Unificado SBT nov dez 23 e jan fev mar 24,LEVE,BARBARA DIAS / BIBI / GUTO OLIVEIRA / LUCAS LIMA / MIKE TULIO / SANDY,"260,73",260.73,260,26073
SBT,Unificado SBT nov dez 23 e jan fev mar 24,LEVE,BARBARA DIAS / BIBI / GUTO OLIVEIRA / LUCAS LIMA / MIKE TULIO / SANDY,"130,23",130.23,130,13023
SBT,Unificado SBT nov dez 23 e jan fev mar 24,ALELUIA,LEONARD COHEN,"390,96",390.96,390,39096
SBT,Unificado SBT nov dez 23 e jan fev mar 24,CONVITE,BRUNNO GABRYEL / MARQUINHOS DE MORAES,"390,96",390.96,390,39096
SBT,Unificado SBT nov dez 23 e jan fev mar 24,SINAIS,THIAGO SILVA / SERGIO JR / BRUNO CARDOSO,"836,65",836.65,836,83665
SBT,Unificado SBT nov dez 23 e jan fev mar 24,ELA,BRUNO CARDOSO / SERGIO JR / THIAGO SILVA,"836,65",836.65,836,83665
SBT,Unificado SBT nov dez 23 e jan fev mar 24,NA NA NA,EMILE GHANTOUS / ERIK NELSON / FRANCESCA FRANCCI RICHARD,"836,65",836.65,836,83665
SBT,Unificado SBT nov dez 23 e jan fev mar 24,NA NA NA,EMILE GHANTOUS / ERIK NELSON / FRANCESCA FRANCCI RICHARD,"836,65",836.65,836,83665
SBT,Unificado SBT nov dez 23 e jan fev mar 24,VOCÊ DE VOLTA,MARCO AURELIO,"836,65",836.65,836,83665
SBT,Unificado SBT nov dez 23 e jan fev mar 24,AQUELAS COISAS,DANIEL MENDES DE ARAUJO DANTAS DANIEL MENDES / WASHINGTON VIEIRA FRAGA JUNIOR,"1673,31",1673.31,1673,167331
SBT,Unificado SBT nov dez 23 e jan fev mar 24,SAUDADE,CRYSTIAN RALF,"836,65",836.65,836,83665
SBT,Unificado SBT nov dez 23 e jan fev mar 24,DESERTO,ANDERSON RICARDO FREIRE / ANDRE VERIDIANO FREIRE,"836,65",836.65,836,83665
SBT,Unificado SBT nov dez 23 e jan fev mar 24,MACETANDO,IVETE MARIA DIAS DE SANGALO / LUCIANO CHAVES DOS SANTOS / SAMIR PEREIRA TRINDADE,"1673,31",1673.31,1673,167331
SBT,Unificado SBT nov dez 23 e jan fev mar 24,MORENA,SHYLTON FERNANDES / BRENO CESAR / DIEGO BARAO / LUAN SANTANA / LUCAS SANTOS,"334,66",334.66,334,33466
SBT,Unificado SBT nov dez 23 e jan fev mar 24,MORENA,SHYLTON FERNANDES / BRENO CESAR / DIEGO BARAO / LUAN SANTANA / LUCAS SANTOS,"334,66",334.66,334,33466
SBT,Unificado SBT nov dez 23 e jan fev mar 24,MORENA,SHYLTON FERNANDES / BRENO CESAR / DIEGO BARAO / LUAN SANTANA / LUCAS SANTOS,"669,32",669.32,669,66932
SBT,Unificado SBT nov dez 23 e jan fev mar 24,MORENA,SHYLTON FERNANDES / BRENO CESAR / DIEGO BARAO / LUAN SANTANA / LUCAS SANTOS,"334,66",334.66,334,33466
SBT,Unificado SBT nov dez 23 e jan fev mar 24,ACABOU,RICARDO CHAVES,"1673,31",1673.31,1673,167331
SBT,Unificado SBT nov dez 23 e jan fev mar 24,DIANA,FRED JORGE / PAUL ANKA,"836,65",836.65,836,83665
SBT,Unificado SBT nov dez 23 e jan fev mar 24,MINHA VIZINHA,MANOEL RODRIGUES,"836,65",836.65,836,83665
SBT,Unificado SBT nov dez 23 e jan fev mar 24,OI,BRUNO CALIMAN,"836,65",836.65,836,83665
SBT,Unificado SBT nov dez 23 e jan fev mar 24,24 HORAS,BRUNO CALIMAN,"836,65",836.65,836,83665
SBT,Unificado SBT nov dez 23 e jan fev mar 24,FOGO,KARIN HILLS / PABLO BISPO / RUXELL / SERGIO SANTOS / DOUGLAS CAMPOS,"585,66",585.66,585,58566
SBT,Unificado SBT nov dez 23 e jan fev mar 24,FOGO,KARIN HILLS / PABLO BISPO / RUXELL / SERGIO SANTOS / DOUGLAS CAMPOS,"251,00",251.00,251,25100
SBT,Unificado SBT nov dez 23 e jan fev mar 24,FOGO,KARIN HILLS / PABLO BISPO / RUXELL / SERGIO SANTOS / DOUGLAS CAMPOS,"585,66",585.66,585,58566
SBT,Unificado SBT nov dez 23 e jan fev mar 24,FOGO,KARIN HILLS / PABLO BISPO / RUXELL / SERGIO SANTOS / DOUGLAS CAMPOS,"251,00",251.00,251,25100
SBT,Unificado SBT nov dez 23 e jan fev mar 24,DOMINGO,ALEXANDRE PIRES,"92,03",92.03,92,9203
SBT,Unificado SBT nov dez 23 e jan fev mar 24,DOMINGO,ALEXANDRE PIRES,"744,62",744.62,744,74462
SBT,Unificado SBT nov dez 23 e jan fev mar 24,PODEROSA,NELSON ALVES DAS NEVES FILHO,"836,65",836.65,836,83665
SBT,Unificado SBT nov dez 23 e jan fev mar 24,VERMELHO,GLORIA GROOVE / MC DALESTE / PABLO BISPO / RUXELL,"278,77",278.77,278,27877
SBT,Unificado SBT nov dez 23 e jan fev mar 24,VERMELHO,GLORIA GROOVE / MC DALESTE / PABLO BISPO / RUXELL,"1394,54",1394.54,1394,139454
SBT,Unificado SBT nov dez 23 e jan fev mar 24,MALVADA,RIVALDO SOARES / SHYLTON FERNANDES / BRENO LIMA,130.31,130.31,130,13031
SBT,Unificado SBT nov dez 23 e jan fev mar 24,MALVADA,RIVALDO SOARES / SHYLTON FERNANDES / BRENO LIMA,260.65,260.65,260,26065
SBT,Unificado SBT nov dez 23 e jan fev mar 24,DEIXE QUEIMAR,Henrique Mendonça / Henrique Mendonça,1673.31,1673.31,1673,167331
SBT,Unificado SBT nov dez 23 e jan fev mar 24,BALMAIN,MC DANIEL / VINICIUS DOS SANTOS LESSA,390.96,390.96,390,39096
SBT,Unificado SBT nov dez 23 e jan fev mar 24,SE JOGA,NALDO,390.96,390.96,390,39096
SBT,Unificado SBT nov dez 23 e jan fev mar 24,ME APAIXONEI,M SACCO / PINOCCHIO,390.96,390.96,390,39096
