provider,supplier_file,sheet,supplier_title,supplier_artist,matched_term,matched_identifier,match_type
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Pocoto,Mc Serginho,POCOTÓ,T-306.794.969-9,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Beijinho No Ombro,Participante,BEIJINHO NO OMBRO,T-311.569.064-3,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Era Uma Vez,Sandy E Junior,ERA UMA VEZ,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Amanha,Roberta Miranda,AMANHÃ,T-307.004.953-1,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Tubaroes,Diego & Victor Hugo,TUBAROES,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Poc Poc,Pedro Sampaio,POC POC,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Vida,Bruna Viola,VIDA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Mascara,Pitty,MÁSCARA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Tubaroes,Diego & Victor Hugo,TUBAROES,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Ei Moto Taxi,"Dj Fabricio Satisfaction,Dj Luan Indiscutível,Mc Monik Do Pix",EI MOTO TAXI,T-330.716.394-2,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Carcara,Personagem Juma,CARCARA,T-040.347.911-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Carcara,Personagem Juma,CARCARÁ,T-308.468.519-4,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Criminal,Britney Spears,CRIMINAL,T-932.737.486-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Baile De Favela,Cacau Protasio,BAILE DE FAVELA,T-303.383.693-6,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Baile De Favela,Mc Joao,BAILE DE FAVELA,T-303.383.693-6,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Perfume,Belo,PERFUME,T-305.215.262-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Criminal,Britney Spears,CRIMINAL,T-932.737.486-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Espelho,Chico Chico,ESPELHO,T-931.652.333-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Espelho,Chico Chico,ESPELHO,T-335.571.845-1,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Opiniao,Samantha Schmutz,OPINIÃO,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Perfume,Participantes Bbb 25,PERFUME,T-305.215.262-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Sou Eu,Ludmilla,SOU EU,T-042.615.532-9,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Maria,Blondie,MARIA,T-307.006.304-2,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Maria,Blondie,MARIA,T-311.953.638-4,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Poc Poc,Pedro Sampaio,POC POC,,title_only
